dataset,view,baseline,rq12_not_applicable,rq12_n_trials,wilcoxon_p,p_holm,rank_biserial_r,rank_biserial_label,hodges_lehmann,hl_ci_low,hl_ci_high,cohens_d_z,cohens_dz_raw,cohens_dz_status,diff_mean,diff_sd,winner,p_holm_per_baseline_family1
production,change_threshold,REPTree,False,210,2.4972127751428137e-36,7.49163832542844e-36,1.0,large,0.322925,0.3149561290322581,0.3330396774193548,6.520216963498273,6.520216963498273,regular,0.317179816363059,0.0486455923382162,KR,2.4972127751428137e-36
production,change_feature,CART,False,540,3.5249375744633692e-90,1.0574812723390108e-89,1.0,large,0.3650620967741935,0.3557524876227366,0.3718092537061636,2.9588740159780285,2.9588740159780285,regular,0.3700737478488791,0.1250724923908444,KR,3.5249375744633692e-90
production,change_feature,J48,False,540,4.574259136529848e-90,1.0574812723390108e-89,1.0,large,0.3117653642314761,0.3040068609388214,0.3215038418976724,2.946622205525891,2.946622205525891,regular,0.3131979571687268,0.1062905032689216,KR,4.574259136529848e-90
production,change_feature,REPTree,False,540,4.1850678578589635e-90,1.0574812723390108e-89,1.0,large,0.2870121007332386,0.27727,0.2958196774193548,3.2150191647831674,3.2150191647831674,regular,0.2751369426702556,0.0855786322159643,KR,4.1850678578589635e-90
production,regrow_leaf,CART,False,782,2.536405642501155e-129,7.609216927503464e-129,1.0,large,0.322871254140549,0.313533420735273,0.3320863386920671,2.0862787242607967,2.0862787242607967,regular,0.3389982284010102,0.1624894240922305,KR,2.536405642501155e-129
production,regrow_leaf,J48,False,782,3.690894332289225e-129,7.609216927503464e-129,1.0,large,0.2585811827956989,0.2493157567418195,0.2676021042445232,2.142416954102225,2.142416954102225,regular,0.2603672442256011,0.1215296787710062,KR,3.690894332289225e-129
production,regrow_leaf,REPTree,False,782,3.6894639208925966e-129,7.609216927503464e-129,1.0,large,0.2331666666666666,0.2249995491328246,0.2408293903890307,2.167715185013844,2.167715185013844,regular,0.233185723023937,0.1075721223138674,KR,3.6894639208925966e-129
production,regrow_internal,CART,False,780,5.375389440591155e-129,1.6126168321773465e-128,1.0,large,0.3625877426302212,0.3544174114228714,0.3709280729855391,2.419844577827277,2.419844577827277,regular,0.3816888208195461,0.1577327834675464,KR,5.375389440591155e-129
production,regrow_internal,J48,False,780,2.4012469211613013e-128,4.802493842322603e-128,1.0,large,0.3016,0.293358064516129,0.3091723795880953,2.7507166002766,2.7507166002766,regular,0.297803060503568,0.1082638104098482,KR,2.4012469211613013e-128
production,regrow_internal,REPTree,False,780,2.2602268719527203e-127,2.2602268719527203e-127,1.0,large,0.265266512495201,0.2575305512693528,0.2730949209799655,2.6586929476754007,2.6586929476754007,regular,0.2589113878235833,0.0973829595666395,KR,2.2602268719527203e-127
hospital_billing,overall,CART,False,2578,0.0,0.0,1.0,large,0.1649746663915832,0.158405376344086,0.1668418083598447,1.328757241845318,1.328757241845318,regular,0.1678854996172347,0.1263477588909189,KR,0.0
hospital_billing,overall,J48,False,2518,0.0,0.0,1.0,large,0.3204831666531007,0.3139544614172931,0.3267976082967171,1.846235250322354,1.846235250322354,regular,0.3195540330459757,0.1730841359410624,KR,0.0
hospital_billing,overall,REPTree,False,2518,0.0,0.0,1.0,large,0.2626707401045478,0.2554972028189828,0.2700408696001783,1.660258191981208,1.660258191981208,regular,0.2660946543329453,0.1602730560934086,KR,0.0
hospital_billing,prune,CART,False,330,2.834461390025658e-47,2.834461390025658e-47,1.0,large,0.1246014857791995,0.1031377237657282,0.1454685979828047,0.9242318247568738,0.9242318247568738,regular,0.1505469058505165,0.1628886842217525,KR,2.834461390025658e-47
hospital_billing,prune,J48,False,330,5.723708109682478e-56,1.7171124329047434e-55,1.0,large,0.3153264579601303,0.2904051630143113,0.3439809164002712,1.5978858589984202,1.5978858589984202,regular,0.3182736359222911,0.1991842121450339,KR,5.723708109682478e-56
hospital_billing,prune,REPTree,False,330,6.718255782311641e-52,1.3436511564623282e-51,1.0,large,0.2407239547084517,0.209225075895995,0.2581904934448729,1.2069114454862313,1.2069114454862313,regular,0.237388363576018,0.1966907882627468,KR,6.718255782311641e-52
hospital_billing,change_label,CART,False,540,5.387245088938498e-56,5.387245088938498e-56,1.0,large,0.125,0.0996953442038573,0.1398849888125753,0.900307951119064,0.900307951119064,regular,0.1188870554573136,0.1320515444849059,KR,5.387245088938498e-56
hospital_billing,change_label,J48,False,510,1.8837933532071056e-80,5.6513800596213165e-80,1.0,large,0.3251466701091373,0.3117720912674745,0.3378320338346334,2.0631800036663264,2.0631800036663264,regular,0.3244697291846536,0.157266805905477,KR,1.8837933532071056e-80
hospital_billing,change_label,REPTree,False,510,1.8837933532071056e-80,5.6513800596213165e-80,1.0,large,0.2837797989545254,0.2661040322580645,0.2916499999999999,1.867455425997083,1.867455425997083,regular,0.2705698753210979,0.1448869255750153,KR,1.8837933532071056e-80
hospital_billing,branch_swap,CART,False,330,3.3015681132872847e-46,9.904704339861853e-46,1.0,large,0.1291311650418635,0.1163371280818168,0.1411290322580645,1.1366424654782366,1.1366424654782366,regular,0.1411721998906934,0.1242010607366283,KR,3.3015681132872847e-46
hospital_billing,branch_swap,J48,False,330,4.072197133816713e-46,9.904704339861853e-46,1.0,large,0.2856384431866612,0.2557801757195315,0.2967939562622732,1.353661790419198,1.353661790419198,regular,0.2763590395100669,0.2041566375486485,KR,4.072197133816713e-46
hospital_billing,branch_swap,REPTree,False,330,4.072197133816713e-46,9.904704339861853e-46,1.0,large,0.2142833333333333,0.1987196775200311,0.2304123655913978,1.1979622071403704,1.1979622071403704,regular,0.223417747923092,0.1864981604523298,KR,4.072197133816713e-46
hospital_billing,change_threshold,CART,False,180,2.920042123727387e-32,8.760126371182161e-32,1.0,large,0.1370999995928435,0.1348355072398911,0.1502445578580712,2.3799787959427667,2.3799787959427667,regular,0.1490065102057509,0.0626083351917956,KR,2.920042123727387e-32
hospital_billing,change_threshold,J48,False,180,2.920042123727387e-32,8.760126371182161e-32,1.0,large,0.2821349858935092,0.2309535596458961,0.2821349858935092,1.378000013975724,1.378000013975724,regular,0.2782229784143815,0.201903465596977,KR,2.920042123727387e-32
hospital_billing,change_threshold,REPTree,False,180,1.2712661258018986e-31,1.2712661258018986e-31,1.0,large,0.2588910080522024,0.2309563404478137,0.287029424779725,1.502975559360334,1.502975559360334,regular,0.277706627862532,0.1847712200860563,KR,1.2712661258018986e-31
hospital_billing,change_feature,CART,False,330,4.48687362925751e-56,1.346062088777253e-55,1.0,large,0.1662265649578029,0.1475806451612903,0.1722123655913978,1.62104541417542,1.62104541417542,regular,0.1652079020210533,0.1019144192854645,KR,4.48687362925751e-56
hospital_billing,change_feature,J48,False,330,6.069197690989024e-56,1.346062088777253e-55,1.0,large,0.2869203287218789,0.2649187224818682,0.3117858405420625,1.5895350139001083,1.5895350139001083,regular,0.2924451248749218,0.1839815558119565,KR,6.069197690989024e-56
hospital_billing,change_feature,REPTree,False,330,5.911595511272712e-56,1.346062088777253e-55,1.0,large,0.222859570971817,0.2056793382102912,0.2440176891230771,1.385981439253806,1.385981439253806,regular,0.2387696540475773,0.1722747847013938,KR,5.911595511272712e-56
hospital_billing,regrow_leaf,CART,False,540,3.294919566899656e-88,9.884758700698968e-88,1.0,large,0.2372026055146321,0.228453896199988,0.2468693548387097,2.229157193728716,2.229157193728716,regular,0.2354935087658167,0.105642396789392,KR,3.294919566899656e-88
hospital_billing,regrow_leaf,J48,False,510,4.2758382952457444e-85,8.46904339332972e-85,1.0,large,0.3753468816249938,0.3650795916843411,0.3861265954746667,3.33666472895684,3.33666472895684,regular,0.3759123125299443,0.1126610981521862,KR,4.2758382952457444e-85
