dataset,mine_algorithm,trial_id,seed,decision_point,mutation_type,n_dominated,median_delta_accuracy,median_delta_similarity,median_delta_simplicity
hospital_billing,CART,s3_change_label_0,23,p_24,change_label,6,0.0024875621890547706,0.16670000000000001,0.0
hospital_billing,CART,s3_change_label_1,23,p_24,change_label,3,0.0024875621890547706,0.13329999999999997,0.0
hospital_billing,CART,s3_prune_0,23,p_24,prune,3,0.0024875621890547706,0.0,0.0
hospital_billing,CART,s3_regrow_leaf_0,23,p_24,regrow_leaf,6,0.0024875621890547706,0.11359999999999998,0.0
hospital_billing,CART,s3_regrow_leaf_1,23,p_24,regrow_leaf,3,0.0024875621890547706,0.1182,0.0
hospital_billing,CART,s3_branch_swap_0,24,p_24,branch_swap,4,0.0024875621890547706,0.0,0.0
hospital_billing,CART,s3_change_feature_0,24,p_24,change_feature,6,0.0024875621890547706,0.16670000000000001,0.0
hospital_billing,CART,s3_change_label_0,24,p_24,change_label,4,0.0024875621890547706,0.0,0.0
hospital_billing,CART,s3_change_label_1,24,p_24,change_label,3,0.0024875621890547706,0.13329999999999997,0.0
hospital_billing,CART,s3_prune_0,24,p_24,prune,3,0.0024875621890547706,0.0,0.0
hospital_billing,CART,s3_regrow_leaf_0,24,p_24,regrow_leaf,3,0.0024875621890547706,0.08099999999999999,0.0
hospital_billing,CART,s3_regrow_leaf_1,24,p_24,regrow_leaf,4,0.0024875621890547706,0.0,0.0
hospital_billing,CART,s3_branch_swap_0,25,p_24,branch_swap,6,0.0024875621890547706,0.16670000000000001,0.0
hospital_billing,CART,s3_change_label_0,25,p_24,change_label,4,0.0024875621890547706,0.0,0.0
hospital_billing,CART,s3_change_label_1,25,p_24,change_label,6,0.0024875621890547706,0.16670000000000001,0.0
hospital_billing,CART,s3_prune_0,25,p_24,prune,6,0.0024875621890547706,0.17859999999999998,0.0
hospital_billing,CART,s3_regrow_leaf_0,25,p_24,regrow_leaf,6,0.0024875621890547706,0.11359999999999998,0.0
hospital_billing,CART,s3_regrow_leaf_1,25,p_24,regrow_leaf,4,0.0024875621890547706,0.0,0.0
hospital_billing,CART,s3_branch_swap_0,26,p_24,branch_swap,6,0.0024875621890547706,0.16670000000000001,0.0
hospital_billing,CART,s3_change_label_0,26,p_24,change_label,3,0.0024875621890547706,0.13329999999999997,0.0
hospital_billing,CART,s3_change_label_1,26,p_24,change_label,6,0.0024875621890547706,0.16670000000000001,0.0
hospital_billing,CART,s3_prune_0,26,p_24,prune,6,0.0024875621890547706,0.17859999999999998,0.0
hospital_billing,CART,s3_regrow_leaf_0,26,p_24,regrow_leaf,3,0.0024875621890547706,0.1182,0.0
hospital_billing,CART,s3_regrow_leaf_1,26,p_24,regrow_leaf,6,0.0024875621890547706,0.09339999999999998,0.0
hospital_billing,CART,s3_branch_swap_0,27,p_24,branch_swap,6,0.0024875621890547706,0.13329999999999997,0.0
hospital_billing,CART,s3_change_feature_0,27,p_24,change_feature,6,0.0024875621890547706,0.16670000000000001,0.0
hospital_billing,CART,s3_change_label_0,27,p_24,change_label,3,0.0024875621890547706,0.13329999999999997,0.0
hospital_billing,CART,s3_change_label_1,27,p_24,change_label,4,0.0024875621890547706,0.0,0.0
hospital_billing,CART,s3_change_threshold_0,27,p_24,change_threshold,6,0.0024875621890547706,0.13329999999999997,0.0
hospital_billing,CART,s3_prune_0,27,p_24,prune,3,0.0024875621890547706,0.0,0.0
hospital_billing,CART,s3_regrow_leaf_0,27,p_24,regrow_leaf,3,0.0024875621890547706,0.09620000000000001,0.0
hospital_billing,CART,s3_regrow_leaf_1,27,p_24,regrow_leaf,4,0.0024875621890547706,0.0,0.0
hospital_billing,CART,s3_branch_swap_0,28,p_24,branch_swap,6,0.0024875621890547706,0.13329999999999997,0.0
hospital_billing,CART,s3_change_label_0,28,p_24,change_label,3,0.0024875621890547706,0.13329999999999997,0.0
hospital_billing,CART,s3_change_label_1,28,p_24,change_label,4,0.0024875621890547706,0.0,0.0
hospital_billing,CART,s3_change_threshold_0,28,p_24,change_threshold,6,0.0024875621890547706,0.13329999999999997,0.0
hospital_billing,CART,s3_prune_0,28,p_24,prune,6,0.0024875621890547706,0.19640000000000002,0.0
hospital_billing,CART,s3_regrow_internal_0,28,p_24,regrow_internal,3,0.0024875621890547706,0.0,0.0
hospital_billing,CART,s3_regrow_leaf_0,28,p_24,regrow_leaf,4,0.0024875621890547706,0.0,0.0
hospital_billing,CART,s3_regrow_leaf_1,28,p_24,regrow_leaf,3,0.0024875621890547706,0.0879,0.0
hospital_billing,CART,s3_branch_swap_0,29,p_24,branch_swap,6,0.0024875621890547706,0.16670000000000001,0.0
hospital_billing,CART,s3_change_label_0,29,p_24,change_label,3,0.0024875621890547706,0.13329999999999997,0.0
hospital_billing,CART,s3_change_label_1,29,p_24,change_label,6,0.0024875621890547706,0.16670000000000001,0.0
hospital_billing,CART,s3_prune_0,29,p_24,prune,6,0.0024875621890547706,0.19640000000000002,0.0
hospital_billing,CART,s3_regrow_leaf_0,29,p_24,regrow_leaf,3,0.0024875621890547706,0.0879,0.0
hospital_billing,CART,s3_regrow_leaf_1,29,p_24,regrow_leaf,6,0.0024875621890547706,0.11359999999999998,0.0
hospital_billing,CART,s3_change_feature_0,3,p_23,change_feature,21,0.00035450217765620184,0.0,0.0
hospital_billing,CART,s3_branch_swap_0,3,p_24,branch_swap,4,0.0024875621890547706,0.0,0.0
hospital_billing,CART,s3_change_feature_0,3,p_24,change_feature,3,0.0024875621890547706,0.0,0.0
hospital_billing,CART,s3_change_label_0,3,p_24,change_label,3,0.0024875621890547706,0.13329999999999997,0.0
hospital_billing,CART,s3_change_label_1,3,p_24,change_label,6,0.0024875621890547706,0.16670000000000001,0.0
hospital_billing,CART,s3_regrow_leaf_0,3,p_24,regrow_leaf,6,0.0024875621890547706,0.09339999999999998,0.0
hospital_billing,CART,s3_regrow_leaf_1,3,p_24,regrow_leaf,3,0.0024875621890547706,0.09620000000000001,0.0
hospital_billing,CART,s3_branch_swap_0,4,p_24,branch_swap,6,0.0024875621890547706,0.16670000000000001,0.0
hospital_billing,CART,s3_change_label_0,4,p_24,change_label,3,0.0024875621890547706,0.13329999999999997,0.0
hospital_billing,CART,s3_change_label_1,4,p_24,change_label,4,0.0024875621890547706,0.0,0.0
hospital_billing,CART,s3_prune_0,4,p_24,prune,6,0.0024875621890547706,0.19640000000000002,0.0
hospital_billing,CART,s3_regrow_internal_0,4,p_24,regrow_internal,6,0.0024875621890547706,0.12730000000000002,0.0
hospital_billing,CART,s3_regrow_leaf_0,4,p_24,regrow_leaf,6,0.0024875621890547706,0.10249999999999998,0.0
hospital_billing,CART,s3_regrow_leaf_1,4,p_24,regrow_leaf,3,0.0024875621890547706,0.09620000000000001,0.0
hospital_billing,CART,s3_branch_swap_0,5,p_24,branch_swap,6,0.0024875621890547706,0.16670000000000001,0.0
hospital_billing,CART,s3_change_label_0,5,p_24,change_label,3,0.0024875621890547706,0.13329999999999997,0.0
hospital_billing,CART,s3_change_label_1,5,p_24,change_label,6,0.0024875621890547706,0.16670000000000001,0.0
hospital_billing,CART,s3_regrow_internal_0,5,p_24,regrow_internal,6,0.0024875621890547706,0.0857,0.0
hospital_billing,CART,s3_regrow_leaf_0,5,p_24,regrow_leaf,4,0.0024875621890547706,0.0,0.0
hospital_billing,CART,s3_regrow_leaf_1,5,p_24,regrow_leaf,3,0.0024875621890547706,0.08099999999999999,0.0
hospital_billing,REPTree,s3_regrow_leaf_0,6,p_10,regrow_leaf,6,0.0,0.0,0.06451612903225801
hospital_billing,CART,s3_branch_swap_0,6,p_24,branch_swap,4,0.0024875621890547706,0.0,0.0
hospital_billing,CART,s3_change_feature_0,6,p_24,change_feature,6,0.0024875621890547706,0.16670000000000001,0.0
hospital_billing,CART,s3_change_label_0,6,p_24,change_label,3,0.0024875621890547706,0.13329999999999997,0.0
hospital_billing,CART,s3_change_label_1,6,p_24,change_label,4,0.0024875621890547706,0.0,0.0
hospital_billing,CART,s3_prune_0,6,p_24,prune,6,0.0024875621890547706,0.19640000000000002,0.0
hospital_billing,CART,s3_regrow_internal_0,6,p_24,regrow_internal,3,0.0024875621890547706,0.0,0.0
hospital_billing,CART,s3_regrow_leaf_0,6,p_24,regrow_leaf,3,0.0024875621890547706,0.09620000000000001,0.0
hospital_billing,CART,s3_regrow_leaf_1,6,p_24,regrow_leaf,6,0.0024875621890547706,0.10249999999999998,0.0
hospital_billing,CART,s3_branch_swap_0,7,p_24,branch_swap,6,0.0024875621890547706,0.13329999999999997,0.0
hospital_billing,CART,s3_change_feature_0,7,p_24,change_feature,6,0.0024875621890547706,0.16670000000000001,0.0
hospital_billing,CART,s3_change_label_0,7,p_24,change_label,6,0.0024875621890547706,0.16670000000000001,0.0
hospital_billing,CART,s3_change_label_1,7,p_24,change_label,3,0.0024875621890547706,0.13329999999999997,0.0
hospital_billing,CART,s3_prune_0,7,p_24,prune,3,0.0024875621890547706,0.0,0.0
hospital_billing,CART,s3_regrow_internal_0,7,p_24,regrow_internal,6,0.0024875621890547706,0.0879,0.0
hospital_billing,CART,s3_regrow_leaf_0,7,p_24,regrow_leaf,4,0.0024875621890547706,0.0,0.0
hospital_billing,CART,s3_regrow_leaf_1,7,p_24,regrow_leaf,3,0.0024875621890547706,0.08099999999999999,0.0
hospital_billing,CART,s3_change_feature_0,8,p_24,change_feature,6,0.0024875621890547706,0.16670000000000001,0.0
hospital_billing,CART,s3_change_label_0,8,p_24,change_label,6,0.0024875621890547706,0.16670000000000001,0.0
hospital_billing,CART,s3_change_label_1,8,p_24,change_label,4,0.0024875621890547706,0.0,0.0
hospital_billing,CART,s3_change_threshold_0,8,p_24,change_threshold,6,0.0024875621890547706,0.13329999999999997,0.0
hospital_billing,CART,s3_prune_0,8,p_24,prune,6,0.0024875621890547706,0.19640000000000002,0.0
hospital_billing,CART,s3_regrow_leaf_0,8,p_24,regrow_leaf,6,0.0024875621890547706,0.0857,0.0
hospital_billing,CART,s3_regrow_leaf_1,8,p_24,regrow_leaf,3,0.0024875621890547706,0.09620000000000001,0.0
hospital_billing,CART,s3_change_feature_0,9,p_24,change_feature,6,0.0024875621890547706,0.16670000000000001,0.0
hospital_billing,CART,s3_change_label_0,9,p_24,change_label,6,0.0024875621890547706,0.16670000000000001,0.0
hospital_billing,CART,s3_change_label_1,9,p_24,change_label,4,0.0024875621890547706,0.0,0.0
hospital_billing,CART,s3_change_threshold_0,9,p_24,change_threshold,6,0.0024875621890547706,0.13329999999999997,0.0
hospital_billing,CART,s3_prune_0,9,p_24,prune,3,0.0024875621890547706,0.0,0.0
hospital_billing,CART,s3_regrow_internal_0,9,p_24,regrow_internal,3,0.0024875621890547706,0.0,0.0
hospital_billing,CART,s3_regrow_leaf_0,9,p_24,regrow_leaf,4,0.0024875621890547706,0.0,0.0
hospital_billing,CART,s3_regrow_leaf_1,9,p_24,regrow_leaf,3,0.0024875621890547706,0.0879,0.0
hospital_billing,C4.5,s3_regrow_internal_0,9,p_6,regrow_internal,1,0.0005992808629644575,0.0,0.0
hospital_billing,REPTree,s3_regrow_internal_0,9,p_6,regrow_internal,1,0.0005992808629644575,0.0,0.06451612903225812
