dataset,algorithm,decision_point,operator,n_trials,dominance_pct
production,CART,p_66,regrow_leaf,30,3.3333333333333335
production,CART,p_67,branch_swap,30,0.0
production,CART,p_67,change_feature,30,0.0
production,CART,p_67,change_label,30,0.0
production,CART,p_67,prune,30,0.0
production,CART,p_67,regrow_internal,30,0.0
production,CART,p_67,regrow_leaf,30,0.0
production,CART,p_68,branch_swap,30,0.0
production,CART,p_68,change_feature,30,0.0
production,CART,p_68,change_label,30,0.0
production,CART,p_68,prune,30,0.0
production,CART,p_68,regrow_internal,30,0.0
production,CART,p_68,regrow_leaf,30,0.0
production,CART,p_73,branch_swap,30,0.0
production,CART,p_73,change_feature,30,0.0
production,CART,p_73,change_label,30,0.0
production,CART,p_73,prune,30,0.0
production,CART,p_73,regrow_internal,30,0.0
production,CART,p_73,regrow_leaf,30,0.0
production,CART,p_75,branch_swap,30,0.0
production,CART,p_75,change_feature,30,0.0
production,CART,p_75,change_label,30,0.0
production,CART,p_75,prune,30,0.0
production,CART,p_75,regrow_internal,30,0.0
production,CART,p_75,regrow_leaf,30,0.0
production,CART,p_76,branch_swap,30,0.0
production,CART,p_76,change_feature,30,0.0
production,CART,p_76,change_label,30,0.0
production,CART,p_76,change_threshold,30,0.0
production,CART,p_76,regrow_internal,30,0.0
production,CART,p_76,regrow_leaf,30,0.0
production,CART,p_78,branch_swap,30,0.0
production,CART,p_78,change_feature,30,0.0
production,CART,p_78,change_label,30,0.0
production,CART,p_78,change_threshold,30,0.0
production,CART,p_78,prune,60,0.0
production,CART,p_78,regrow_internal,60,0.0
production,CART,p_78,regrow_leaf,30,0.0
production,CART,p_81,branch_swap,30,0.0
production,CART,p_81,change_feature,30,0.0
production,CART,p_81,change_label,30,0.0
production,CART,p_81,prune,30,0.0
production,CART,p_81,regrow_internal,30,0.0
production,CART,p_81,regrow_leaf,30,0.0
production,CART,p_95,branch_swap,30,0.0
production,CART,p_95,change_feature,30,0.0
production,CART,p_95,change_label,30,0.0
production,CART,p_95,change_threshold,30,0.0
production,CART,p_95,prune,30,0.0
production,CART,p_95,regrow_internal,30,0.0
production,CART,p_95,regrow_leaf,30,0.0
production,REPTree,p_100,change_label,30,0.0
production,REPTree,p_100,prune,30,0.0
production,REPTree,p_100,regrow_internal,30,0.0
production,REPTree,p_100,regrow_leaf,30,0.0
production,REPTree,p_18,branch_swap,30,0.0
production,REPTree,p_18,change_feature,30,0.0
production,REPTree,p_18,change_label,30,0.0
production,REPTree,p_18,prune,30,0.0
production,REPTree,p_18,regrow_internal,30,0.0
production,REPTree,p_18,regrow_leaf,30,0.0
production,REPTree,p_26,branch_swap,30,0.0
production,REPTree,p_26,change_feature,30,0.0
production,REPTree,p_26,change_label,30,0.0
production,REPTree,p_26,change_threshold,30,0.0
production,REPTree,p_26,prune,60,0.0
production,REPTree,p_26,regrow_internal,60,0.0
production,REPTree,p_26,regrow_leaf,30,0.0
production,REPTree,p_30,change_label,30,0.0
production,REPTree,p_30,regrow_leaf,30,0.0
production,REPTree,p_32,change_label,30,0.0
production,REPTree,p_32,prune,30,0.0
production,REPTree,p_32,regrow_internal,30,0.0
production,REPTree,p_32,regrow_leaf,30,0.0
production,REPTree,p_35,branch_swap,30,0.0
