dataset,algorithm,decision_point,operator,n_trials,dominance_pct
international_declarations,REPTree,p_52,regrow_leaf,30,0.0
international_declarations,REPTree,p_56,branch_swap,30,0.0
international_declarations,REPTree,p_56,change_feature,30,0.0
international_declarations,REPTree,p_56,change_label,30,0.0
international_declarations,REPTree,p_56,change_threshold,30,0.0
international_declarations,REPTree,p_56,prune,30,0.0
international_declarations,REPTree,p_56,regrow_internal,30,3.3333333333333335
international_declarations,REPTree,p_56,regrow_leaf,30,0.0
international_declarations,REPTree,p_58,branch_swap,30,0.0
international_declarations,REPTree,p_58,change_feature,30,0.0
international_declarations,REPTree,p_58,change_label,30,0.0
international_declarations,REPTree,p_58,prune,30,0.0
international_declarations,REPTree,p_58,regrow_internal,30,0.0
international_declarations,REPTree,p_58,regrow_leaf,30,0.0
international_declarations,REPTree,p_63,change_label,30,0.0
international_declarations,REPTree,p_63,regrow_leaf,30,0.0
international_declarations,REPTree,p_65,branch_swap,30,0.0
international_declarations,REPTree,p_65,change_feature,30,0.0
international_declarations,REPTree,p_65,change_label,30,0.0
international_declarations,REPTree,p_65,change_threshold,30,0.0
international_declarations,REPTree,p_65,prune,30,0.0
international_declarations,REPTree,p_65,regrow_internal,30,0.0
international_declarations,REPTree,p_65,regrow_leaf,30,0.0
international_declarations,REPTree,p_68,branch_swap,30,0.0
international_declarations,REPTree,p_68,change_feature,30,0.0
international_declarations,REPTree,p_68,change_label,30,0.0
international_declarations,REPTree,p_68,change_threshold,30,0.0
international_declarations,REPTree,p_68,prune,30,0.0
international_declarations,REPTree,p_68,regrow_internal,30,0.0
international_declarations,REPTree,p_68,regrow_leaf,30,0.0
international_declarations,REPTree,p_74,change_label,30,0.0
international_declarations,REPTree,p_74,regrow_leaf,30,0.0
international_declarations,REPTree,p_76,change_label,30,0.0
international_declarations,REPTree,p_76,regrow_leaf,30,0.0
international_declarations,REPTree,p_9,branch_swap,30,0.0
international_declarations,REPTree,p_9,change_label,30,0.0
international_declarations,REPTree,p_9,prune,30,0.0
international_declarations,REPTree,p_9,regrow_internal,30,0.0
international_declarations,REPTree,p_9,regrow_leaf,30,0.0
