dataset,view,baseline,rq12_not_applicable,rq12_n_trials,wilcoxon_p,p_holm,hodges_lehmann,hl_ci_low,hl_ci_high,winner,p_holm_per_baseline_family1
hospital_billing,regrow_leaf,REPTree,False,510,2.910615442226492e-85,5.821230884452984e-85,0.3204623812540252,0.312986953679557,0.3275585590742147,RulesRepair,2.910615442226492e-85
hospital_billing,regrow_internal,CART,False,358,6.061416951416629e-60,8.393852910849471e-60,0.1851309108809211,0.1729797043010753,0.1979019507603221,RulesRepair,6.061416951416629e-60
hospital_billing,regrow_internal,J48,False,358,1.9900726575057752e-60,5.970217972517326e-60,0.3456063624690287,0.3291591397849462,0.3607718311977695,RulesRepair,1.9900726575057752e-60
hospital_billing,regrow_internal,REPTree,False,358,4.1969264554247354e-60,8.393852910849471e-60,0.279690188172043,0.2626036279789147,0.2975534384599487,RulesRepair,4.1969264554247354e-60
international_declarations,overall,CART,False,1951,1.579319681215172e-235,1.579319681215172e-235,0.15,0.1434770161290322,0.1562306359780939,RulesRepair,1.579319681215172e-235
international_declarations,overall,J48,False,1891,6.685804157175566e-236,1.3371608314351132e-235,0.16665,0.1602233097353013,0.1683231845899507,RulesRepair,6.685804157175566e-236
international_declarations,overall,REPTree,False,1891,1.1697342966735983e-260,3.5092028900207944e-260,0.162739612388878,0.1588481061308876,0.16665,RulesRepair,1.1697342966735983e-260
international_declarations,prune,CART,False,180,2.3816001643962808e-21,2.3816001643962808e-21,0.0161290322580645,0.0161290322580645,0.0161290322580645,RulesRepair,2.3816001643962808e-21
international_declarations,prune,J48,False,180,9.64627280339421e-22,1.929254560678842e-21,0.0483870967741935,0.0176703644536695,0.0523935070306038,RulesRepair,9.64627280339421e-22
international_declarations,prune,REPTree,False,180,1.302296550044173e-26,3.9068896501325196e-26,0.032258064516129,0.0297929864553238,0.0454044203697029,RulesRepair,1.302296550044173e-26
international_declarations,change_label,CART,False,540,6.494494166446537e-32,1.2988988332893074e-31,0.0161290322580645,0.0161290322580645,0.0161290322580645,RulesRepair,6.494494166446537e-32
international_declarations,change_label,J48,False,510,1.0559656533770767e-31,1.2988988332893074e-31,0.083325,0.083325,0.083325,RulesRepair,1.0559656533770767e-31
international_declarations,change_label,REPTree,False,510,3.8714637792249934e-51,1.161439133767498e-50,0.0834212619668551,0.0798606424618706,0.0849981845899507,RulesRepair,3.8714637792249934e-51
international_declarations,branch_swap,CART,False,210,6.494494166446537e-32,1.948348249933961e-31,0.1335696144727175,0.132605376344086,0.149627688172043,RulesRepair,6.494494166446537e-32
international_declarations,branch_swap,J48,False,210,1.0559656533770767e-31,2.1119313067541533e-31,0.16665,0.1470601217043674,0.1683231845899507,RulesRepair,1.0559656533770767e-31
international_declarations,branch_swap,REPTree,False,210,1.7054406343547175e-31,2.1119313067541533e-31,0.1440441159709704,0.1415459401709402,0.1513008727619937,RulesRepair,1.7054406343547175e-31
international_declarations,change_threshold,CART,False,120,3.1581396263113583e-22,9.474418878934075e-22,0.1654760080645161,0.1643020161290322,0.1976538089406931,RulesRepair,3.1581396263113583e-22
international_declarations,change_threshold,J48,False,120,9.64627280339421e-22,1.929254560678842e-21,0.1752581039237644,0.1728592307488991,0.1776569770986296,RulesRepair,9.64627280339421e-22
international_declarations,change_threshold,REPTree,False,120,9.64627280339421e-22,1.929254560678842e-21,0.1654760080645161,0.1643020161290322,0.1693118216974583,RulesRepair,9.64627280339421e-22
international_declarations,change_feature,CART,False,180,7.40774074987871e-27,2.222322224963613e-26,0.1392200655624568,0.1368720816914891,0.1619540322580645,RulesRepair,7.40774074987871e-27
international_declarations,change_feature,J48,False,180,1.3453964558825408e-26,2.6907929117650815e-26,0.1502270426610865,0.1392200655624568,0.1537744517125273,RulesRepair,1.3453964558825408e-26
international_declarations,change_feature,REPTree,False,180,1.3453964558825408e-26,2.6907929117650815e-26,0.1583048445988287,0.155956860727861,0.1590635094904164,RulesRepair,1.3453964558825408e-26
international_declarations,regrow_leaf,CART,False,540,1.36558118594423e-88,4.0967435578326895e-88,0.273825,0.2638833333333333,0.28125,RulesRepair,1.36558118594423e-88
international_declarations,regrow_leaf,J48,False,510,3.56036437967206e-84,3.741220288828771e-84,0.2889,0.2791626701662409,0.2975510249975719,RulesRepair,3.56036437967206e-84
international_declarations,regrow_leaf,REPTree,False,510,1.8706101444143856e-84,3.741220288828771e-84,0.285725,0.2768871634959522,0.2929577330862218,RulesRepair,1.8706101444143856e-84
international_declarations,regrow_internal,CART,False,181,3.856327214662087e-31,8.160118524132986e-31,0.2808116935483871,0.2658916666666666,0.2955645161290322,RulesRepair,3.856327214662087e-31
international_declarations,regrow_internal,J48,False,181,3.942719563340528e-31,8.160118524132986e-31,0.270825,0.2563873031873423,0.2852807795698924,RulesRepair,3.942719563340528e-31
international_declarations,regrow_internal,REPTree,False,181,2.720039508044329e-31,8.160118524132986e-31,0.257168629032258,0.2432362802464686,0.2700032886393536,RulesRepair,2.720039508044329e-31
prepaid_travel_costs,overall,CART,False,1560,4.7295189205954596e-222,9.459037841190919e-222,0.1406687885049167,0.1360356548247935,0.1479288781643758,RulesRepair,4.7295189205954596e-222
prepaid_travel_costs,overall,J48,False,1560,7.614148010588607e-222,9.459037841190919e-222,0.1613293693307317,0.1552781658574737,0.1645418861500704,RulesRepair,7.614148010588607e-222
prepaid_travel_costs,overall,REPTree,False,1560,6.5621331123794065e-227,1.968639933713822e-226,0.1643020161290322,0.159836289130687,0.166675,RulesRepair,6.5621331123794065e-227
